english	jl	gjl	human	mass	animals	time	deriv	disyllabic
thehare	haera	m	not	not	animal	not	not	a
thefoal	faaLa	m	not	not	animal	not	not	a
theowl	uggLe	f	not	not	animal	not	not	e
theprawnsorshrimp	raeke	f	not	not	animal	not	not	e
therat	raatte	f	not	not	animal	not	not	e
thedragonfly	oersnorre	f	not	not	animal	not	not	e
thelizard	oedle	f	not	not	animal	not	not	e
themule	mule	f	not	not	animal	not	not	e
theflea	loppe	f	not	not	animal	not	not	e
thelamb2	lammonge	m	not	not	animal	not	not	e
thebat1	kvaellfLaekse	f	not	not	animal	not	not	e
thecrow	kraauke	f	not	not	animal	not	not	e
thekid	kjille	m	not	not	animal	not	not	e
thecat	katte	f	not	not	animal	not	not	e
thebee2	haamLe	f	not	not	animal	not	not	e
thegrasshopper	graeshoppe	f	not	not	animal	not	not	e
thedove	duve	f	not	not	animal	not	not	e
thedonkey	aausne	f	not	not	animal	not	not	e
thewolf	varj	m	not	not	animal	not	not	not
thewhale	val	m	not	not	animal	not	not	not
thesnail1	sleikmask	m	not	not	animal	not	not	not
thecormorant	skarv	m	not	not	animal	not	not	not
theseagull2	skjoefaageL	m	not	not	animal	not	not	not
thefox	raev	m	not	not	animal	not	not	not
thereindeercaribou	rein	m	not	not	animal	not	not	not
thesnake	orm	m	not	not	animal	not	not	not
theeagle	oern	m	not	not	animal	not	not	not
theant	moeur	m	not	not	animal	not	not	not
theworm	maesch	m	not	not	animal	not	not	not
theseagull1	lom	m	not	not	animal	not	not	not
theinsect1	kuse	m	not	not	animal	not	not	not
thecrocodile	krokodil	m	not	not	animal	not	not	not
therabbit	kanin	m	not	not	animal	not	not	not
thecalf	kaLv	m	not	not	animal	not	not	not
thecockroach1	kakkerlakke	f	not	not	animal	not	not	not
thedog	hunn	m	not	not	animal	not	not	not
thehawk	hoeuk	m	not	not	animal	not	not	not
theheron	heger	m	not	not	animal	not	not	not
thehorse	haest	m	not	not	animal	not	not	not
thepig1	gris	m	not	not	animal	not	not	not
thefowl	graaufaageL	m	not	not	animal	not	not	not
thevulture	gam	m	not	not	animal	not	not	not
thefrog	frosk	m	not	not	animal	not	not	not
thebat2	fladdermus	f	not	not	animal	not	not	not
thebutterfly	fjaeril	m	not	not	animal	not	not	not
thefish	fisch	m	not	not	animal	not	not	not
thebird	faageL	m	not	not	animal	not	not	not
